country,date,confirmed,deaths,recovered,tests,hospitalized,in.icu,confirmed_m_00-09,confirmed_w_00-09,confirmed_m_10-19,confirmed_w_10-19,confirmed_m_20-29,confirmed_w_20-29,confirmed_m_30-39,confirmed_w_30-39,confirmed_m_40-49,confirmed_w_40-49,confirmed_m_50-59,confirmed_w_50-59,confirmed_m_60-69,confirmed_w_60-69,confirmed_m_70-79,confirmed_w_70-79,confirmed_m_80+,confirmed_w_80+,death_m_00-09,death_w_00-09,death_m_10-19,death_w_10-19,death_m_20-29,death_w_20-29,death_m_30-39,death_w_30-39,death_m_40-49,death_w_40-49,death_m_50-59,death_w_50-59,death_m_60-69,death_w_60-69,death_m_70-79,death_w_70-79,death_m_80+,death_w_80+,first_vaccine,second_vaccine,contacts
Portugal,2022-02-05,2884540,20171,2226548,NA,2409,169,150638,143978,188207,186165,216556,230350,210867,247909,226131,278686,158849,192513,99782,113158,58264,66199,39478,74198,2,1,1,2,10,8,32,22,125,83,419,180,1279,571,2720,1653,6025,7038,NA,NA,665706
Portugal,2022-02-04,2843029,20127,2180109,NA,2445,174,148026,141461,184572,182564,213778,227277,207879,244102,223037,274544,157201,190289,98697,111792,57481,65373,38993,73366,2,1,1,2,10,8,32,22,123,83,417,180,1278,571,2713,1648,6018,7018,NA,NA,660347
Portugal,2022-02-03,2795830,20077,2133640,NA,2440,155,144948,138466,180540,178615,210641,223655,204353,239648,219382,269803,155401,187898,97524,110304,56700,64365,38524,72511,2,1,1,2,10,8,32,22,123,82,415,179,1275,568,2706,1646,6004,7001,NA,NA,653062
Portugal,2022-02-02,2745383,20024,2112346,NA,2442,149,141652,135259,176221,174379,207373,219766,200515,234773,215266,264593,153523,185387,96343,108729,55863,63452,38073,71702,2,1,1,2,10,8,32,22,122,82,415,179,1271,567,2699,1642,5987,6982,NA,NA,645697
Portugal,2022-02-01,2690690,19968,2078357,NA,2437,155,137596,131371,171512,169799,204150,215760,196469,229443,210926,258855,151469,182744,95118,107084,54983,62532,37588,70809,2,1,1,2,10,8,32,22,121,81,415,179,1268,566,2692,1639,5964,6965,NA,NA,639307
Portugal,2022-01-31,2639802,19905,2033747,NA,2469,160,133778,127785,167092,165568,201377,212265,192852,224454,206874,253595,149451,180133,93872,105455,54125,61558,37115,70016,2,1,1,2,10,8,32,22,121,81,415,178,1265,565,2683,1634,5948,6937,NA,NA,633177
Portugal,2022-01-30,2611886,19856,1994151,NA,2397,160,131286,125484,164678,163186,199752,210368,190759,221715,204516,250647,148374,178917,93326,104703,53833,61195,36955,69774,2,1,1,2,10,8,32,21,121,81,414,177,1264,565,2679,1631,5928,6919,NA,NA,624599
Portugal,2022-01-05,1499976,19029,1227000,NA,1251,143,51988,50259,80876,81649,125155,126917,108365,118850,112433,135543,92329,112344,64308,70382,38308,43073,29115,56632,2,1,1,2,8,5,28,21,117,75,391,165,1219,535,2564,1566,5673,6656,NA,NA,NA
Portugal,2022-01-04,1460406,19015,1227000,NA,1203,147,50800,49178,78833,79383,121498,122986,105064,115353,108960,131579,89512,109219,62880,68761,37677,42346,28822,56175,2,1,1,2,8,5,28,21,117,75,390,165,1215,535,2561,1565,5670,6654,NA,NA,NA
Portugal,2022-01-03,1434570,19000,1207000,NA,1167,147,50170,48583,77617,77973,119014,120458,102924,113126,106666,128895,87576,107175,61856,67665,37251,41873,28610,55859,2,1,1,2,8,5,28,21,117,75,389,164,1214,535,2557,1562,5667,6652,NA,NA,NA
Portugal,2022-01-02,1424016,18990,1201000,NA,1081,148,49831,48248,77095,77422,118101,119417,102000,112174,105738,127811,86817,106323,61475,67256,37107,41702,28532,55729,2,1,1,2,8,5,28,21,117,75,389,164,1213,535,2556,1560,5663,6650,NA,NA,NA
Portugal,2022-01-01,1412936,18976,1197000,NA,1023,142,49464,47860,76501,76779,117155,118336,101109,111159,104821,126655,86042,105454,61070,66817,36953,41480,28460,55589,2,1,1,2,8,5,28,21,117,75,389,163,1213,535,2552,1559,5659,6646,NA,NA,NA
Portugal,2021-12-31,1389646,18955,1191000,NA,1024,145,48735,47202,75187,75381,115010,116121,99190,109112,102877,124323,84444,103597,60235,65887,36585,41018,28287,55276,2,1,1,2,8,5,27,21,117,75,388,163,1209,534,2547,1557,5657,6641,NA,NA,NA
Portugal,2021-12-30,1358817,18937,1181000,NA,1034,144,47830,46310,73467,73495,112090,113036,96661,106369,100289,121220,82462,101239,59173,64625,36082,40391,28063,54894,2,1,1,2,8,5,27,21,117,74,388,163,1208,534,2545,1553,5650,6638,NA,NA,NA
Portugal,2021-12-29,1330158,18921,1175000,NA,971,151,47019,45541,71874,71736,109246,110145,94312,103959,97954,118272,80531,98948,58125,63443,35654,39868,27879,54572,2,1,1,2,8,5,27,21,117,74,386,163,1208,534,2542,1551,5644,6635,NA,NA,NA
Portugal,2021-12-28,1303291,18909,1169000,NA,936,152,46253,44693,70362,70087,106635,107386,92158,101543,95693,115474,78777,96918,57168,62406,35264,39416,27700,54312,2,1,1,2,8,5,27,21,117,74,386,163,1206,534,2541,1548,5642,6631,NA,NA,NA
Portugal,2021-12-27,1286119,18890,1161000,NA,914,150,45827,44279,69467,69110,104835,105556,90756,100018,94182,113705,77590,95573,56530,61740,35037,39174,27593,54167,2,1,1,2,8,5,27,21,117,74,386,162,1202,532,2538,1547,5639,6626,NA,NA,NA
Portugal,2021-12-26,1279785,18861,1157000,NA,857,152,45638,44084,69142,68680,104131,104803,90179,99478,93617,113086,77226,95175,56331,61519,34967,39102,27552,54115,2,1,1,2,8,5,27,21,117,74,385,162,1200,532,2535,1546,5632,6624,NA,NA,NA
Portugal,2021-12-25,1276053,18861,1157000,NA,857,152,45486,43951,68938,68442,103746,104340,89854,99155,93313,112754,76983,94952,56204,61409,34919,39060,27522,54064,2,1,1,2,8,5,27,21,117,74,385,162,1200,531,2533,1544,5626,6622,NA,NA,NA
Portugal,2021-12-24,1266037,18851,1155000,NA,864,149,45129,43567,68306,67707,102661,103225,89012,98242,92443,111882,76358,94323,55908,61079,34821,38937,27486,53997,2,1,1,2,8,5,27,21,117,74,385,162,1199,531,2532,1543,5624,6617,NA,NA,NA
